Date;GDP;Unemployment;CPI_avg;EUR_UAH_avg;USD_UAH_avg;Key_rate_eop;EUR_UAH_eop;USD_UAH_eop;FCST
20241231;4.900;12.000;6.600;43.276;38.988;13.000;46.854;41.100;base 
20251231;6.500;9.000;8.500;48.099;41.825;10.000;49.300;42.500;base 
20261231;6.000;8.000;6.500;50.603;43.250;8.000;51.480;44.000;base 
20241231;-8.000;20.000;20.000;45.510;41.000;25.000;54.720;48.000;worst
20251231;-5.000;18.000;17.000;59.225;51.500;25.000;63.800;55.000;worst
20261231;-5.000;17.000;14.000;67.275;57.500;20.000;70.200;60.000;worst
